Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/RC,Player,Team
102,96,04/24/2017,1st,1,Mumbai Indians,Wankhede Stadium,c & b K V Sharma,38,32,118.75,2834,34.14,121.27,Ajinkya rahane,CSK
103,97,04/26/2017,1st,1,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,st R V Uthappa b S P Narine,46,41,112.2,2880,34.29,121.11,Ajinkya rahane,CSK
104,98,04/29/2017,1st,1,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c A F Milne b S Badree,6,8,75,2886,33.95,120.96,Ajinkya rahane,CSK
105,99,01/05/2017,2nd,1,Gujarat Lions,Maharashtra Cricket Association Stadium,lbw b P J Sangwan,4,4,100,2890,33.6,120.92,Ajinkya rahane,CSK
106,100,03/05/2017,2nd,1,Kolkata Knight Riders,Eden Gardens,c †S P Jackson b U T Yadav,11,9,122.22,2901,33.34,120.93,Ajinkya rahane,CSK
107,101,06/05/2017,1st,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Yuvraj Singh b Bipul Sharma,22,20,110,2923,33.22,120.84,Ajinkya rahane,CSK
108,102,12/05/2017,2nd,1,Delhi Capitals,Arun Jaitley Stadium,b Z Khan,0,1,0,2923,32.84,120.79,Ajinkya rahane,CSK
109,103,05/14/2017,2nd,1,Punjab Kings,Maharashtra Cricket Association Stadium,not out,34*,34,100,2957,33.22,120.5,Ajinkya rahane,CSK
110,104,05/16/2017,1st,1,Mumbai Indians,Wankhede Stadium,lbw b K V Sharma,56,43,130.23,3013,33.48,120.66,Ajinkya rahane,CSK
111,105,05/21/2017,2nd,1,Mumbai Indians,Rajiv Gandhi International Stadium,c K A Pollard b M G Johnson,44,38,115.79,3057,33.59,120.59,Ajinkya rahane,CSK
112 (c),106,09/04/2018,1st,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Rashid Khan b S Kaul,13,13,100,3070,33.37,120.49,Ajinkya rahane,CSK
113 (c),107,11/04/2018,1st,1,Delhi Capitals,Sawai Mansingh Stadium,c C H Morris b S Nadeem,45,40,112.5,3115,33.49,120.36,Ajinkya rahane,CSK
114 (c),108,04/15/2018,1st,1,Royal Challengers Bangalore,M Chinnaswamy Stadium,c U T Yadav b C R Woakes,36,20,180,3151,33.52,120.82,Ajinkya rahane,CSK
115 (c),109,04/18/2018,1st,1,Kolkata Knight Riders,Sawai Mansingh Stadium,st K D Karthik b N Rana,36,19,189.47,3187,33.55,121.32,Ajinkya rahane,CSK
116 (c),110,04/20/2018,2nd,1,Chennai Super Kings,Maharashtra Cricket Association Stadium,b D L Chahar,16,11,145.45,3203,33.36,121.42,Ajinkya rahane,CSK
117 (c),111,04/22/2018,2nd,1,Mumbai Indians,Sawai Mansingh Stadium,c K H Pandya b M J McClenaghan,14,17,82.35,3217,33.16,121.17,Ajinkya rahane,CSK
118 (c),112,04/29/2018,2nd,1,Sunrisers Hyderabad,Sawai Mansingh Stadium,not out,65*,53,122.64,3282,33.84,121.2,Ajinkya rahane,CSK
119 (c),56,02/05/2018,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,0,3282,33.84,121.2,Ajinkya rahane,CSK
120 (c),113,06/05/2018,1st,3,Punjab Kings,Holkar Cricket Stadium,c C H Gayle b A R Patel,5,7,71.43,3287,33.54,121.07,Ajinkya rahane,CSK
121 (c),114,08/05/2018,1st,1,Punjab Kings,Sawai Mansingh Stadium,c A D Nath b A J Tye,9,10,90,3296,33.29,120.95,Ajinkya rahane,CSK
122 (c),115,11/05/2018,2nd,3,Chennai Super Kings,Sawai Mansingh Stadium,c S K Raina b R A Jadeja,4,3,133.33,3300,33.0,120.97,Ajinkya rahane,CSK
123 (c),116,05/13/2018,2nd,3,Mumbai Indians,Wankhede Stadium,c S A Yadav b H H Pandya,37,36,102.78,3337,33.04,120.73,Ajinkya rahane,CSK
124 (c),117,05/15/2018,1st,3,Kolkata Knight Riders,Eden Gardens,b Kuldeep Yadav,11,12,91.67,3348,32.82,120.61,Ajinkya rahane,CSK
125 (c),118,05/19/2018,1st,3,Royal Challengers Bangalore,Sawai Mansingh Stadium,lbw b U T Yadav,33,31,106.45,3381,32.83,120.45,Ajinkya rahane,CSK
126 (c),119,05/23/2018,2nd,1,Kolkata Knight Riders,Eden Gardens,c & b Kuldeep Yadav,46,41,112.2,3427,32.95,120.33,Ajinkya rahane,CSK
127 (c),120,03/25/2019,2nd,1,Punjab Kings,Sawai Mansingh Stadium,b R Ashwin,27,20,135,3454,32.9,120.43,Ajinkya rahane,CSK
128 (c),121,03/29/2019,1st,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M K Pandey b S Nadeem,70,49,142.86,3524,33.25,120.81,Ajinkya rahane,CSK
129 (c),122,03/31/2019,2nd,1,Chennai Super Kings,MA Chidambaram Stadium,c R A Jadeja b D L Chahar,0,2,0,3524,32.93,120.73,Ajinkya rahane,CSK
130 (c),123,02/04/2019,2nd,1,Royal Challengers Bangalore,Sawai Mansingh Stadium,lbw b Y S Chahal,22,20,110,3546,32.83,120.65,Ajinkya rahane,CSK
131 (c),124,07/04/2019,1st,1,Kolkata Knight Riders,Sawai Mansingh Stadium,lbw b M Prasidh Krishna,5,7,71.43,3551,32.58,120.54,Ajinkya rahane,CSK
132 (c),125,11/04/2019,1st,1,Chennai Super Kings,Sawai Mansingh Stadium,lbw b D L Chahar,14,11,127.27,3565,32.41,120.56,Ajinkya rahane,CSK
133 (c),126,04/13/2019,2nd,1,Mumbai Indians,Wankhede Stadium,c S A Yadav b K H Pandya,37,21,176.19,3602,32.45,120.95,Ajinkya rahane,CSK
134 (c),127,04/16/2019,2nd,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c Mohammed Shami b Arshdeep Singh,26,21,123.81,3628,32.39,120.97,Ajinkya rahane,CSK
135,128,04/20/2019,2nd,1,Mumbai Indians,Sawai Mansingh Stadium,c S A Yadav b R D Chahar,12,12,100,3640,32.21,120.89,Ajinkya rahane,CSK
136,129,04/22/2019,1st,1,Delhi Capitals,Sawai Mansingh Stadium,not out,105*,63,166.67,3745,33.14,121.83,Ajinkya rahane,CSK
137,130,04/25/2019,2nd,1,Kolkata Knight Riders,Eden Gardens,lbw b S P Narine,34,21,161.9,3779,33.15,122.1,Ajinkya rahane,CSK
138,131,04/27/2019,2nd,1,Sunrisers Hyderabad,Sawai Mansingh Stadium,c D A Warner b Shakib Al Hasan,39,34,114.71,3818,33.2,122.02,Ajinkya rahane,CSK
139,56,04/30/2019,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,3818,33.2,122.02,Ajinkya rahane,CSK
140 (c),132,04/05/2019,1st,1,Delhi Capitals,Arun Jaitley Stadium,c S Dhawan b I Sharma,2,4,50,3820,32.93,121.93,Ajinkya rahane,CSK
141,133,11/10/2020,1st,3,Mumbai Indians,Sheikh Zayed Stadium,lbw b K H Pandya,15,15,100,3835,32.78,121.82,Ajinkya rahane,CSK
142,134,10/14/2020,1st,3,Rajasthan Royals,Dubai International Cricket Stadium,c R V Uthappa b J C Archer,2,9,22.22,3837,32.52,121.54,Ajinkya rahane,CSK
143,135,10/17/2020,2nd,3,Chennai Super Kings,Sharjah Cricket Stadium,c S M Curran b D L Chahar,8,10,80,3845,32.31,121.41,Ajinkya rahane,CSK
144,136,10/24/2020,2nd,1,Kolkata Knight Riders,Sheikh Zayed Stadium,lbw b P J Cummins,0,1,0,3845,32.04,121.37,Ajinkya rahane,CSK
145,137,10/27/2020,2nd,1,Sunrisers Hyderabad,Dubai International Cricket Stadium,lbw b Rashid Khan,26,19,136.84,3871,31.99,121.46,Ajinkya rahane,CSK
146,138,02/11/2020,2nd,3,Royal Challengers Bangalore,Sheikh Zayed Stadium,c S Dube b Washington Sundar,60,46,130.43,3931,32.22,121.59,Ajinkya rahane,CSK
147,139,05/11/2020,2nd,3,Mumbai Indians,Dubai International Cricket Stadium,lbw b T A Boult,0,3,0,3931,31.96,121.48,Ajinkya rahane,CSK
148,56,08/11/2020,1st,-,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bat,-,-,0,3931,31.96,121.48,Ajinkya rahane,CSK
149,140,10/11/2020,1st,3,Mumbai Indians,Dubai International Cricket Stadium,c †Q de Kock b T A Boult,2,4,50,3933,31.72,121.39,Ajinkya rahane,CSK
150,56,10/04/2021,2nd,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,0,3933,31.72,121.39,Ajinkya rahane,CSK
151,141,04/15/2021,1st,3,Rajasthan Royals,Wankhede Stadium,c & b J D Unadkat,8,8,100,3941,31.53,121.34,Ajinkya rahane,CSK
152,142,03/26/2022,2nd,1,Chennai Super Kings,Wankhede Stadium,c R A Jadeja b M J Santner,44,34,129.41,3985,31.63,121.42,Ajinkya rahane,CSK
153,143,03/30/2022,1st,1,Royal Challengers Bangalore,Dr DY Patil Sports Academy,c Shahbaz Ahmed b Mohammed Siraj,9,10,90,3994,31.45,121.32,Ajinkya rahane,CSK
154,144,01/04/2022,2nd,1,Punjab Kings,Wankhede Stadium,c O F Smith b K Rabada,12,11,109.09,4006,31.3,121.28,Ajinkya rahane,CSK
155,145,06/04/2022,2nd,1,Mumbai Indians,Maharashtra Cricket Association Stadium,c D R Sams b T S Mills,7,11,63.64,4013,31.11,121.09,Ajinkya rahane,CSK
156,146,10/04/2022,2nd,1,Delhi Capitals,Brabourne Stadium,c S N Thakur b K K Ahmed,8,14,57.14,4021,30.93,120.82,Ajinkya rahane,CSK
157,147,09/05/2022,1st,2,Mumbai Indians,Dr DY Patil Sports Academy,b Kumar Kartikeya,25,24,104.17,4046,30.89,120.7,Ajinkya rahane,CSK
158,148,05/14/2022,1st,2,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,c S Singh b Umran Malik,28,24,116.67,4074,30.86,120.68,Ajinkya rahane,CSK
159,149,08/04/2023,2nd,3,Mumbai Indians,Wankhede Stadium,c S A Yadav b P P Chawla,61,27,225.93,4135,31.09,121.51,Ajinkya rahane,CSK
160,150,12/04/2023,2nd,3,Rajasthan Royals,MA Chidambaram Stadium,lbw b R Ashwin,31,19,163.16,4166,31.09,121.74,Ajinkya rahane,CSK
161,151,04/17/2023,1st,3,Royal Challengers Bangalore,M Chinnaswamy Stadium,b P W H de Silva,37,20,185,4203,31.13,122.11,Ajinkya rahane,CSK
162,152,04/21/2023,2nd,3,Sunrisers Hyderabad,MA Chidambaram Stadium,c A K Markram b M Markande,9,10,90,4212,30.97,122.02,Ajinkya rahane,CSK
163,153,04/23/2023,1st,3,Kolkata Knight Riders,Eden Gardens,not out,71*,29,244.83,4283,31.49,123.04,Ajinkya rahane,CSK
164,154,04/27/2023,2nd,3,Rajasthan Royals,Sawai Mansingh Stadium,c J C Buttler b R Ashwin,15,13,115.38,4298,31.37,123.01,Ajinkya rahane,CSK
165,56,04/30/2023,1st,-,Punjab Kings,MA Chidambaram Stadium,did not bat,-,-,0,4298,31.37,123.01,Ajinkya rahane,CSK
166,56,03/05/2023,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,0,4298,31.37,123.01,Ajinkya rahane,CSK
167,155,06/05/2023,2nd,3,Mumbai Indians,MA Chidambaram Stadium,lbw b P P Chawla,21,17,123.53,4319,31.3,123.01,Ajinkya rahane,CSK
168,156,10/05/2023,1st,3,Delhi Capitals,MA Chidambaram Stadium,c & b Lalit Yadav,21,20,105,4340,31.22,122.91,Ajinkya rahane,CSK
169,157,05/14/2023,1st,3,Kolkata Knight Riders,MA Chidambaram Stadium,c J J Roy b C V Varun,16,11,145.45,4356,31.11,122.98,Ajinkya rahane,CSK
170,56,05/20/2023,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,0,4356,31.11,122.98,Ajinkya rahane,CSK
171,158,05/23/2023,1st,4,Gujarat Titans,MA Chidambaram Stadium,c Shubman Gill b D G Nalkande,17,10,170,4373,31.01,123.11,Ajinkya rahane,CSK
172,159,05/29/2023,2nd,4,Gujarat Titans,Narendra Modi Stadium,c V Shankar b M M Sharma,27,13,207.69,4400,30.99,123.42,Ajinkya rahane,CSK
1,1,04/19/2008,1st,6,Delhi Capitals,Arun Jaitley Stadium,b D L Vettori,29,23,126.09,29,29.0,126.09,Ravindra Jadeja,CSK
2,2,04/21/2008,2nd,6,Punjab Kings,Sawai Mansingh Stadium,not out,36*,25,144,65,65.0,135.42,Ravindra Jadeja,CSK
3,3,04/24/2008,2nd,6,Deccan Chargers,Rajiv Gandhi International Stadium,b R P Singh,1,3,33.33,66,33.0,129.41,Ravindra Jadeja,CSK
4,56,04/26/2008,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,66,33.0,129.41,Ravindra Jadeja,CSK
5,4,01/05/2008,1st,6,Kolkata Knight Riders,Sawai Mansingh Stadium,b L R Shukla,33,19,173.68,99,33.0,141.43,Ravindra Jadeja,CSK
6,56,04/05/2008,2nd,-,Chennai Super Kings,Sawai Mansingh Stadium,did not bat,-,-,0,99,33.0,141.43,Ravindra Jadeja,CSK
7,5,07/05/2008,1st,6,Mumbai Indians,Dr DY Patil Sports Academy,c †Y V Takawale b D S Kulkarni,0,1,0,99,24.75,139.44,Ravindra Jadeja,CSK
8,56,09/05/2008,2nd,-,Deccan Chargers,Sawai Mansingh Stadium,did not bat,-,-,0,99,24.75,139.44,Ravindra Jadeja,CSK
9,6,11/05/2008,2nd,5,Delhi Capitals,Sawai Mansingh Stadium,b A Mishra,6,6,100,105,21.0,136.36,Ravindra Jadeja,CSK
10,56,05/17/2008,1st,-,Royal Challengers Bangalore,Sawai Mansingh Stadium,did not bat,-,-,0,105,21.0,136.36,Ravindra Jadeja,CSK
11,56,05/20/2008,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,0,105,21.0,136.36,Ravindra Jadeja,CSK
12,7,05/26/2008,2nd,6,Mumbai Indians,Sawai Mansingh Stadium,not out,23*,20,115,128,25.6,131.96,Ravindra Jadeja,CSK
13,8,05/30/2008,1st,7,Delhi Capitals,Wankhede Stadium,c M F Maharoof b V Y Mahesh,7,5,140,135,22.5,132.35,Ravindra Jadeja,CSK
14,9,01/06/2008,2nd,7,Chennai Super Kings,Dr DY Patil Sports Academy,c C K Kapugedera b J A Morkel,0,1,0,135,19.29,131.07,Ravindra Jadeja,CSK
15,10,04/18/2009,2nd,7,Royal Challengers Bangalore,Newlands,c V Kohli b A Kumble,11,10,110,146,18.25,129.2,Ravindra Jadeja,CSK
16,11,04/23/2009,1st,5,Kolkata Knight Riders,Newlands,c Yashpal Singh b I Sharma,22,26,84.62,168,18.67,120.86,Ravindra Jadeja,CSK
17,12,04/26/2009,2nd,6,Punjab Kings,Newlands,b Y A Abdulla,37,44,84.09,205,20.5,112.02,Ravindra Jadeja,CSK
18,13,04/28/2009,2nd,5,Delhi Capitals,SuperSport Park,c P J Sangwan b A Mishra,16,13,123.08,221,20.09,112.76,Ravindra Jadeja,CSK
19,14,04/30/2009,2nd,4,Chennai Super Kings,Buffalo Park,c M L Hayden b L Balaji,37,33,112.12,258,21.5,112.66,Ravindra Jadeja,CSK
20,15,02/05/2009,2nd,5,Deccan Chargers,St George's Park,c D R Smith b Y Venugopal Rao,12,17,70.59,270,20.77,109.76,Ravindra Jadeja,CSK
21,16,05/05/2009,1st,4,Punjab Kings,Kingsmead,c D P M D Jayawardene b I K Pathan,33,12,275,303,21.64,117.44,Ravindra Jadeja,CSK
22,17,07/05/2009,2nd,5,Royal Challengers Bangalore,SuperSport Park,not out,1*,3,33.33,304,21.71,116.48,Ravindra Jadeja,CSK
23,18,09/05/2009,1st,4,Chennai Super Kings,Diamond Oval,c S K Raina b L Balaji,27,19,142.11,331,22.07,118.21,Ravindra Jadeja,CSK
24,19,11/05/2009,2nd,6,Deccan Chargers,Diamond Oval,not out,19*,20,95,350,23.33,116.67,Ravindra Jadeja,CSK
25,20,05/14/2009,1st,4,Mumbai Indians,Kingsmead,c D J J Bravo b S T Jayasuriya,42,32,131.25,392,24.5,118.07,Ravindra Jadeja,CSK
26,21,05/17/2009,2nd,5,Delhi Capitals,Mangaung Oval,c †K D Karthik b A M Salvi,24,18,133.33,416,24.47,118.86,Ravindra Jadeja,CSK
27,22,05/20/2009,1st,7,Kolkata Knight Riders,Kingsmead,b S S Sarkar,14,19,73.68,430,23.89,116.53,Ravindra Jadeja,CSK
28,23,09/04/2011,1st,5,Royal Challengers Bangalore,Nehru Stadium (Kochi),not out,23*,16,143.75,453,25.17,117.66,Ravindra Jadeja,CSK
29,24,04/13/2011,1st,6,Pune Warriors,Dr DY Patil Sports Academy,c W D Parnell b J D Ryder,47,33,142.42,500,26.32,119.62,Ravindra Jadeja,CSK
30,25,04/15/2011,2nd,3,Mumbai Indians,Barabati Stadium,not out,25*,11,227.27,525,27.63,122.38,Ravindra Jadeja,CSK
31,26,04/18/2011,2nd,5,Chennai Super Kings,Nehru Stadium (Kochi),not out,16*,6,266.67,541,28.47,124.37,Ravindra Jadeja,CSK
32,27,04/20/2011,1st,5,Kolkata Knight Riders,Eden Gardens,c Y K Pathan b B Lee,29,18,161.11,570,28.5,125.83,Ravindra Jadeja,CSK
33,28,04/24/2011,1st,5,Rajasthan Royals,Sawai Mansingh Stadium,c & b S K Warne,22,23,95.65,592,28.19,124.37,Ravindra Jadeja,CSK
34,29,04/27/2011,2nd,7,Deccan Chargers,Nehru Stadium (Kochi),c D T Christian b A Mishra,23,35,65.71,615,27.95,120.35,Ravindra Jadeja,CSK
35,30,04/30/2011,2nd,6,Delhi Capitals,Nehru Stadium (Kochi),c R E van der Merwe b A B Agarkar,31,22,140.91,646,28.09,121.2,Ravindra Jadeja,CSK
36,56,02/05/2011,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,0,646,28.09,121.2,Ravindra Jadeja,CSK
37,31,05/05/2011,1st,5,Kolkata Knight Riders,Nehru Stadium (Kochi),c Y K Pathan b R Bhatia,8,11,72.73,654,27.25,120.22,Ravindra Jadeja,CSK
38,32,08/05/2011,1st,6,Royal Challengers Bangalore,M Chinnaswamy Stadium,c M Kaif b A Mithun,23,22,104.55,677,27.08,119.61,Ravindra Jadeja,CSK
39,33,05/13/2011,1st,3,Punjab Kings,Holkar Cricket Stadium,lbw b P P Chawla,17,18,94.44,694,26.69,118.84,Ravindra Jadeja,CSK
40,56,05/15/2011,2nd,-,Rajasthan Royals,Holkar Cricket Stadium,did not bat,-,-,0,694,26.69,118.84,Ravindra Jadeja,CSK
41,34,05/18/2011,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b D E Bollinger,19,13,146.15,713,26.41,119.43,Ravindra Jadeja,CSK
42,35,04/04/2012,1st,8,Mumbai Indians,MA Chidambaram Stadium,b S L Malinga,3,5,60,716,25.57,118.94,Ravindra Jadeja,CSK
43,36,07/04/2012,1st,5,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,hit wicket b D W Steyn,48,29,165.52,764,26.34,121.08,Ravindra Jadeja,CSK
44,37,10/04/2012,1st,5,Delhi Capitals,Arun Jaitley Stadium,c †N V Ojha b I K Pathan,13,17,76.47,777,25.9,119.91,Ravindra Jadeja,CSK
45,38,12/04/2012,2nd,7,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,4*,1,400,781,26.03,120.34,Ravindra Jadeja,CSK
46,39,04/14/2012,1st,5,Pune Warriors,Maharashtra Cricket Association Stadium,c S P D Smith b A Nehra,44,26,169.23,825,26.61,122.22,Ravindra Jadeja,CSK
47,40,04/19/2012,1st,6,Pune Warriors,MA Chidambaram Stadium,c R Sharma b M N Samuels,7,3,233.33,832,26.0,122.71,Ravindra Jadeja,CSK
48,56,04/21/2012,2nd,-,Rajasthan Royals,MA Chidambaram Stadium,did not bat,-,-,0,832,26.0,122.71,Ravindra Jadeja,CSK
49,56,04/25/2012,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,832,26.0,122.71,Ravindra Jadeja,CSK
50,41,04/28/2012,2nd,5,Punjab Kings,MA Chidambaram Stadium,c D J Hussey b P P Chawla,17,11,154.55,849,25.73,123.22,Ravindra Jadeja,CSK
51,42,04/30/2012,1st,6,Kolkata Knight Riders,MA Chidambaram Stadium,c D B Das b S P Narine,9,13,69.23,858,25.24,122.22,Ravindra Jadeja,CSK
52,43,04/05/2012,1st,6,Deccan Chargers,MA Chidambaram Stadium,c K C Sangakkara b A Ashish Reddy,4,9,44.44,862,24.63,121.24,Ravindra Jadeja,CSK
53,44,06/05/2012,1st,7,Mumbai Indians,Wankhede Stadium,c J E C Franklin b S L Malinga,9,6,150,871,24.19,121.48,Ravindra Jadeja,CSK
54,45,10/05/2012,2nd,6,Rajasthan Royals,Sawai Mansingh Stadium,c J Botha b Pankaj Singh,16,13,123.08,887,23.97,121.51,Ravindra Jadeja,CSK
55,56,12/05/2012,2nd,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,0,887,23.97,121.51,Ravindra Jadeja,CSK
56,46,05/14/2012,2nd,7,Kolkata Knight Riders,Eden Gardens,not out,3*,2,150,890,24.05,121.58,Ravindra Jadeja,CSK
57,47,05/17/2012,1st,6,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c N Saini b P Awana,13,14,92.86,903,23.76,121.05,Ravindra Jadeja,CSK
58,48,05/23/2012,1st,6,Mumbai Indians,M Chinnaswamy Stadium,c R G Sharma b D S Kulkarni,1,2,50,904,23.18,120.86,Ravindra Jadeja,CSK
59,56,05/25/2012,1st,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,0,904,23.18,120.86,Ravindra Jadeja,CSK
60,56,05/27/2012,1st,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,0,904,23.18,120.86,Ravindra Jadeja,CSK
61,49,06/04/2013,2nd,7,Mumbai Indians,MA Chidambaram Stadium,b M M Patel,16,11,145.45,920,23.0,121.21,Ravindra Jadeja,CSK
62,56,10/04/2013,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,0,920,23.0,121.21,Ravindra Jadeja,CSK
63,50,04/13/2013,2nd,6,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,38*,20,190,958,23.95,122.98,Ravindra Jadeja,CSK
64,51,04/15/2013,2nd,5,Pune Warriors,MA Chidambaram Stadium,c A B Dinda b M R Marsh,27,22,122.73,985,24.02,122.97,Ravindra Jadeja,CSK
65,56,04/18/2013,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,0,985,24.02,122.97,Ravindra Jadeja,CSK
66,52,04/20/2013,2nd,7,Kolkata Knight Riders,Eden Gardens,not out,36*,14,257.14,1021,24.9,125.28,Ravindra Jadeja,CSK
67,53,04/22/2013,2nd,5,Rajasthan Royals,MA Chidambaram Stadium,b J P Faulkner,0,2,0,1021,24.31,124.97,Ravindra Jadeja,CSK
68,54,04/25/2013,2nd,6,Sunrisers Hyderabad,MA Chidambaram Stadium,c A Mishra b D W Steyn,1,4,25,1022,23.77,124.48,Ravindra Jadeja,CSK
69,55,04/28/2013,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,not out,1*,1,100,1023,23.79,124.45,Ravindra Jadeja,CSK
70,56,04/30/2013,1st,-,Pune Warriors,Maharashtra Cricket Association Stadium,did not bat,-,-,0,1023,23.79,124.45,Ravindra Jadeja,CSK
71,56,02/05/2013,1st,6,Punjab Kings,MA Chidambaram Stadium,not out,5*,2,250,1028,23.91,124.76,Ravindra Jadeja,CSK
72,57,05/05/2013,2nd,8,Mumbai Indians,Wankhede Stadium,c A T Rayudu b P P Ojha,20,16,125,1048,23.82,124.76,Ravindra Jadeja,CSK
73,58,08/05/2013,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,14*,6,233.33,1062,24.14,125.53,Ravindra Jadeja,CSK
74,59,12/05/2013,1st,5,Rajasthan Royals,Sawai Mansingh Stadium,not out,12*,14,85.71,1074,24.41,124.88,Ravindra Jadeja,CSK
75,60,05/14/2013,1st,5,Delhi Capitals,MA Chidambaram Stadium,b U T Yadav,24,17,141.18,1098,24.4,125.2,Ravindra Jadeja,CSK
76,61,05/18/2013,2nd,6,Royal Challengers Bangalore,M Chinnaswamy Stadium,c & b Z Khan,7,4,175,1105,24.02,125.43,Ravindra Jadeja,CSK
77,56,05/21/2013,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,0,1105,24.02,125.43,Ravindra Jadeja,CSK
78,62,05/26/2013,2nd,6,Mumbai Indians,Eden Gardens,c K A Pollard b Harbhajan Singh,0,2,0,1105,23.51,125.14,Ravindra Jadeja,CSK
79,56,04/18/2014,1st,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,0,1105,23.51,125.14,Ravindra Jadeja,CSK
80,63,04/21/2014,1st,6,Delhi Capitals,Sheikh Zayed Stadium,c †K D Karthik b J D Unadkat,7,3,233.33,1112,23.17,125.51,Ravindra Jadeja,CSK
81,64,04/23/2014,1st,6,Rajasthan Royals,Dubai International Cricket Stadium,not out,36*,33,109.09,1148,23.92,124.92,Ravindra Jadeja,CSK
82,56,04/25/2014,2nd,-,Mumbai Indians,Dubai International Cricket Stadium,did not bat,-,-,0,1148,23.92,124.92,Ravindra Jadeja,CSK
83,65,04/27/2014,2nd,6,Sunrisers Hyderabad,Sharjah Cricket Stadium,b I Sharma,6,9,66.67,1154,23.55,124.35,Ravindra Jadeja,CSK
84,66,02/05/2014,1st,5,Kolkata Knight Riders,JSCA International Stadium Complex,not out,17*,10,170,1171,23.9,124.84,Ravindra Jadeja,CSK
85,56,05/05/2014,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,0,1171,23.9,124.84,Ravindra Jadeja,CSK
86,67,07/05/2014,2nd,4,Punjab Kings,Barabati Stadium,b R Dhawan,17,8,212.5,1188,23.76,125.58,Ravindra Jadeja,CSK
87,68,10/05/2014,2nd,6,Mumbai Indians,Wankhede Stadium,b S L Malinga,6,7,85.71,1194,23.41,125.29,Ravindra Jadeja,CSK
88,69,05/13/2014,2nd,7,Rajasthan Royals,JSCA International Stadium Complex,not out,11*,6,183.33,1205,23.63,125.65,Ravindra Jadeja,CSK
89,70,05/18/2014,1st,6,Royal Challengers Bangalore,JSCA International Stadium Complex,not out,10*,9,111.11,1215,23.82,125.52,Ravindra Jadeja,CSK
90,71,05/20/2014,1st,6,Kolkata Knight Riders,Eden Gardens,not out,9*,4,225,1224,24.0,125.93,Ravindra Jadeja,CSK
91,56,05/22/2014,1st,-,Sunrisers Hyderabad,JSCA International Stadium Complex,did not bat,-,-,0,1224,24.0,125.93,Ravindra Jadeja,CSK
92,56,05/24/2014,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,1224,24.0,125.93,Ravindra Jadeja,CSK
93,56,05/28/2014,2nd,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,0,1224,24.0,125.93,Ravindra Jadeja,CSK
94,72,05/30/2014,2nd,5,Punjab Kings,Wankhede Stadium,c M G Johnson b P Awana,27,21,128.57,1251,24.06,125.98,Ravindra Jadeja,CSK
95,73,09/04/2015,1st,5,Delhi Capitals,MA Chidambaram Stadium,st C M Gautam b A Mishra,17,18,94.44,1268,23.92,125.42,Ravindra Jadeja,CSK
96,74,11/04/2015,1st,5,Sunrisers Hyderabad,MA Chidambaram Stadium,run out,0,1,0,1268,23.48,125.3,Ravindra Jadeja,CSK
97,56,04/17/2015,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,0,1268,23.48,125.3,Ravindra Jadeja,CSK
